voice,language,language_code,gender,service
fr-CA-Neural2-B,French (Canada),fr-CA,MALE,google
fr-CA-Standard-A,French (Canada),fr-CA,FEMALE,google
fr-CA-Wavenet-A,French (Canada),fr-CA,FEMALE,google
fr-CA-Wavenet-B,French (Canada),fr-CA,MALE,google
fr-CA-Standard-D,French (Canada),fr-CA,MALE,google
fr-CA-Neural2-D,French (Canada),fr-CA,MALE,google
fr-CA-Wavenet-D,French (Canada),fr-CA,MALE,google
fr-FR-Wavenet-D,French (France),fr-FR,MALE,google
fr-FR-Neural2-D,French (France),fr-FR,MALE,google
fr-FR-Polyglot-1,French (France),fr-FR,MALE,google
fr-FR-Wavenet-E,French (France),fr-FR,FEMALE,google
fr-FR-Standard-E,French (France),fr-FR,FEMALE,google
fr-FR-Wavenet-A,French (France),fr-FR,FEMALE,google
fr-FR-Wavenet-B,French (France),fr-FR,MALE,google
fr-FR-Neural2-B,French (France),fr-FR,MALE,google
fr-FR-Neural2-E,French (France),fr-FR,FEMALE,google
fr-FR-Neural2-A,French (France),fr-FR,FEMALE,google
fr-FR-Neural2-C,French (France),fr-FR,FEMALE,google
fr-FR-Standard-C,French (France),fr-FR,FEMALE,google
fr-FR-Standard-D,French (France),fr-FR,MALE,google
fr-FR-Wavenet-C,French (France),fr-FR,FEMALE,google
fr-FR-Standard-B,French (France),fr-FR,MALE,google
fr-FR-Standard-A,French (France),fr-FR,FEMALE,google
gl-ES-Standard-A,NA,gl-ES,FEMALE,google
gu-IN-Standard-A,NA,gu-IN,FEMALE,google
gu-IN-Standard-B,NA,gu-IN,MALE,google
gu-IN-Wavenet-A,NA,gu-IN,FEMALE,google
gu-IN-Wavenet-B,NA,gu-IN,MALE,google
he-IL-Wavenet-B,Hebrew (Israel),he-IL,MALE,google
he-IL-Wavenet-A,Hebrew (Israel),he-IL,FEMALE,google
he-IL-Standard-C,Hebrew (Israel),he-IL,FEMALE,google
he-IL-Standard-A,Hebrew (Israel),he-IL,FEMALE,google
he-IL-Wavenet-D,Hebrew (Israel),he-IL,MALE,google
he-IL-Standard-B,Hebrew (Israel),he-IL,MALE,google
he-IL-Wavenet-C,Hebrew (Israel),he-IL,FEMALE,google
he-IL-Standard-D,Hebrew (Israel),he-IL,MALE,google
hi-IN-Standard-D,Hindi (India),hi-IN,FEMALE,google
hi-IN-Standard-B,Hindi (India),hi-IN,MALE,google
hi-IN-Neural2-B,Hindi (India),hi-IN,MALE,google
hi-IN-Wavenet-A,Hindi (India),hi-IN,FEMALE,google
hi-IN-Wavenet-C,Hindi (India),hi-IN,MALE,google
hi-IN-Neural2-C,Hindi (India),hi-IN,MALE,google
hi-IN-Neural2-A,Hindi (India),hi-IN,FEMALE,google
hi-IN-Standard-C,Hindi (India),hi-IN,MALE,google
hi-IN-Wavenet-B,Hindi (India),hi-IN,MALE,google
hi-IN-Standard-A,Hindi (India),hi-IN,FEMALE,google
hi-IN-Neural2-D,Hindi (India),hi-IN,FEMALE,google
hi-IN-Wavenet-D,Hindi (India),hi-IN,FEMALE,google
hu-HU-Standard-A,Hungarian,hu-HU,FEMALE,google
hu-HU-Wavenet-A,Hungarian,hu-HU,FEMALE,google
id-ID-Wavenet-B,Indonesian,id-ID,MALE,google
id-ID-Wavenet-A,Indonesian,id-ID,FEMALE,google
id-ID-Standard-D,Indonesian,id-ID,FEMALE,google
id-ID-Wavenet-C,Indonesian,id-ID,MALE,google
id-ID-Standard-C,Indonesian,id-ID,MALE,google
id-ID-Wavenet-D,Indonesian,id-ID,FEMALE,google
id-ID-Standard-A,Indonesian,id-ID,FEMALE,google
id-ID-Standard-B,Indonesian,id-ID,MALE,google
is-IS-Standard-A,NA,is-IS,FEMALE,google
it-IT-Wavenet-D,Italian,it-IT,MALE,google
it-IT-Standard-B,Italian,it-IT,FEMALE,google
it-IT-Wavenet-C,Italian,it-IT,MALE,google
it-IT-Standard-D,Italian,it-IT,MALE,google
it-IT-Standard-A,Italian,it-IT,FEMALE,google
it-IT-Neural2-C,Italian,it-IT,MALE,google
it-IT-Standard-C,Italian,it-IT,MALE,google
it-IT-Wavenet-A,Italian,it-IT,FEMALE,google
it-IT-Wavenet-B,Italian,it-IT,FEMALE,google
it-IT-Neural2-A,Italian,it-IT,FEMALE,google
ja-JP-Standard-C,Japanese,ja-JP,MALE,google
ja-JP-Wavenet-D,Japanese,ja-JP,MALE,google
ja-JP-Neural2-C,Japanese,ja-JP,MALE,google
ja-JP-Standard-B,Japanese,ja-JP,FEMALE,google
ja-JP-Wavenet-A,Japanese,ja-JP,FEMALE,google
ja-JP-Standard-D,Japanese,ja-JP,MALE,google
ja-JP-Wavenet-C,Japanese,ja-JP,MALE,google
